Doctor,Specialty,Contact
Dr. Abdul Munnon Durrani,Specialist Urologist,800 444 444
Dr. Abdulraheem Khalaf,Consultant Gastroenterologist,800 444 444
Dr. Adel Abdallah Salama Wassef,Specialist Cardiologist,800 444 444
Dr. Adham Kamal,General Practitioner,800 444 444
Dr. Afaf Ghanimi,Consultant Obstetrics & Gynaecology,800 444 444
Dr. Agata Moscicka,Consultant Neonatology,800 444 444
Dr. Ahmad Bassel Chaykhouny,Specialist ENT,800 444 444
Dr. Ahmed Elhelaly,Consultant Cardiologist,800 444 444
Dr. Ahmed Ghalayini,General Practitioner,800 444 444
Dr. Ahmed Shehata,Specialist Pulmonology,800 444 444
Dr. Ahmed Telb,Consultant Radiologist,800 444 444
Dr. Aiiar Ahmadijazi,Specialist Emergency Medicine,800 444 444
Dr. Aiman Saleh,Specialist Emergency Medicine,800 444 444
Dr. Alain Abdallah,Consultant Obstetrics & Gynaecology,800 444 444
Dr. Alireza Kazemimiraky,Specialist Orthopaedic Surgeon,800 444 444
Dr. Allam Alkowatli,Consultant Interventional Cardiologist,800 444 444
Dr. Amira Awad,Specialist Dermatologist,800 444 444
Dr. Amjad Aless,Specialist Radiologist,800 444 444
Dr. Amjad Mouhammad Haider,Consultant Paediatrics,800 444 444
Dr. Amr Mahmoud Elnaggar,Specialist Emergency Medicine,800 444 444
Dr. Amr Mohamed Sarwat,Specialist Neurosurgeon,800 444 444
Dr. Amr Salah,Consultant Obstetrics & Gynaecology,800 444 444
Dr. Anna Formelova,Specialist Vascular Surgeon,800 444 444
Dr. Anurag Singh,Specialist Radiologist,800 444 444
Dr. Anwar Mohammad,Specialist Gastroenterologist,800 444 444
Dr. Apoorva Mishra,General Dentist,800 444 444
Dr. Arun Kumar Sharma,Specialist Neurologist,800 444 444
Dr. Aseem Alhaj,Consultant Neurosurgeon,800 444 444
Dr. Asha Thomas,General Practitioner,800 444 444
Dr. Ashok Gupta,Specialist Vascular Surgeon,800 444 444
Dr. Ayman Labban,Specialist Neurologist,800 444 444
Dr. Ayman Obeid,Consultant General Surgeon and Bariatric Surgery,800 444 444
Dr. Aysha Mahmoud,Specialist Paediatrics,800 444 444
Dr. Azhar Khan,Specialist Internal Medicine,800 444 444
Dr. Badreya Al Shehhi,Specialist Dermatologist,800 444 444
Dr. Bahareh Bzooyar,Specialist Neurologist,800 444 444
Dr. Barbara Dohrn,Consultant Anaesthetist,800 444 444
Dr. Basema Jaber,Consultant Obstetrics & Gynaecology,800 444 444
Dr. Chinmay Shah,Specialist Interventional Radiologist,800 444 444
Dr. Christiana Savvidou,Specialist Orthopaedic Surgeon,800 444 444
Dr. Christine Helou,Physiotherapist,800 444 444
Dr. Deepak Narayni,Specialist Internal Medicine,800 444 444
Dr. Eglal Mohammed Baza,Specialist Anaesthetist,800 444 444
Dr. Ekaterina Pryakhina,General Practitioner,800 444 444
Dr. Elie Al Ahmar,Specialist Obstetrics & Gynaecology,800 444 444
Dr. Elie Eid,Specialist Obstetrics & Gynaecology,800 444 444
Dr. Erkin Bazarbaev,General Practitioner,800 444 444
Dr. Farideh Moradimoghaddam,Specialist Gastroenterologist,800 444 444
Dr. Farivar Bagheri,Specialist Orthopaedic Surgeon,800 444 444
Dr. Fatemeh Nabavizadeh,Consultant Cardiologist,800 444 444
Dr. Faten Khalil,Specialist Radiologist,800 444 444
Dr. Fatima Elbagir Abdallah Mohammed,Specialist Paediatrics,800 444 444
Dr. Fatima Hassan Mohammed,Specialist Obstetrics & Gynaecology,800 444 444
Dr. Fawaz Alhamad,Specialist Anaesthetist,800 444 444
Dr. Fouad El Fata,Specialist ENT,800 444 444
Dr. Gamal Helmy,Specialist Pediatrician & Neonatologist,800 444 444
Dr. Georges El Jammal,Specialist Gastroenterologist,800 444 444
Dr. Ghada El-Sherbiny,General Practitioner,800 444 444
Dr. Ghada Moustafa Abdellatif,Specialist Clinical Pathologist,800 444 444
Dr. Hana Elfaki,Specialist Obstetrics & Gynaecology,800 444 444
Dr. Hanan Bahaaeldin,Specialist Radiologist,800 444 444
Dr. Hanan Jeghami,Specialist Internal Medicine,800 444 444
Dr. Hanna Elias Shahine,Specialist Urologist,800 444 444
Dr. Hasan Hadad,Specialist Emergency Medicine,800 444 444
Dr. Hasan Mostafa,Consultant Neonatology,800 444 444
Dr. Hassan Albhtri,Specialist Internal Medicine,800 444 444
Dr. Haya Nadhim Mohammed,General Dentist,800 444 444
Dr. Hecham Harb,Consultant Endocrinologist,800 444 444
Dr. Ibrahim Haidar,Specialist Orthopaedic Surgeon,800 444 444
Dr. Igor Sankin,Specialist ENT,800 444 444
Dr. Ihab Jizi,Specialist Pulmonology,800 444 444
Dr. Irem Yavuz,Specialist Emergency Medicine,800 444 444
Dr. Islam Mohamed Sabry,General Practitioner,800 444 444
